长江
亚马孙河
尼罗河
刚果河
巴拿马运河
湄公河
外流河
湄南河
伊洛瓦底江
闽江
澜沧江
怒江
雅鲁藏布江
额尔齐斯河
内流河
珠江
黄河
田纳西河流域
长江流域
河流
松花江
辽河
塔里木河
京杭运河
乌拉尔河
密西西比河
尼日尔河
赞比西河
鄂毕河
叶尼塞河
苏伊士运河
勒拿河
阿姆河
锡尔河
恒河
布拉马普特拉河
印度河
红河
萨尔温江
雅砻江
汉江
黑龙江
海河
淮河
莱茵河
伏尔加河
罗讷河
马格达莱纳河
马更些河
墨累－达令河
漠阳江
内荆河
嫩江
尼洋曲
帕隆藏布
朋曲
秦淮河
清江
弱水
森格藏布
圣弗朗西斯科河
圣劳伦斯河
狮泉河
石羊河
田纳西河
汀江
西江
湘江
新沂河
新汴河
新沭河
信江
扬子江
郁永河
扎加藏布
浊水溪
资水
子牙新河
鄱江
沅江
汴水
泗水
洮儿河
洮河
湟水
滏阳新河
澧水
瓯江
奥得河
北布拉沃河
北江
冰川融水径流
川江
大甲溪
淡水河
第二松花江
东江
东鱼河
多雄藏布
俄亥俄河
格尔木河
韩江
黑龙港河
呼兰河
淮河入江水道
淮沭河
黄浦江
鉴江
九龙江
朗钦藏布
柳江
白尼罗河
阿拉斯河
朱巴河
卡伦河
冈比亚河
安加拉河
呼玛河
达令河
都柳江
克兰河
乌裕尔河
青弋江
灌河
伊敏河
德尔河
宾汉河
间歇河
涟江
提河
归春河
丘伦河
洛古河
寇河
唐河
辉发河
其培河
亚河
讷迪河
曹娥江
逊别拉河
卡马河
喀布尔河
阿特巴拉河
南汀河
拉维河
南流江
青衣江
石勒喀河
额敏河
盖河
克鲁伦河
瓦尔河
巩乃斯河
依吉密河
斯旺河
加龙河
恰河
乌苏河
茫拉河
细河
富尔江
里下河
涅瓦河
七星河
拉林河
泉河
普梅河
潞江
鲜水河
湍河
阿拉伯河
约旦河
沃尔特河
孔雀河
南溪河
塔霍河
瓜达尔基维尔河
清水江
沱沱河
奎屯河
独龙江
涪江
蒂萨河
青龙河
科奇河
北仑河
尼雅河
滁河
古黄河
运粮河
基训河
梅塔河
拉瓦河
澧河
毕拉河
射阳河
隆河
沃日河
音河
车尔臣河
偏岩河
汤旺河
松花江流
内陆河
库拉河
亚马逊河
亚穆纳河
马普得拉河
党河
阿柯河
特茹河
克里雅河
巴戈埃河
罗尼河
加札勒河
古宜河
霍林河
诺敏河
溪河
复州河
小凌河
同江
小汶河
塔河
阿夏勒河
图拉河
伊逊河
徒骇河
同奈河
江河
龙川江
巴尼河
那河
普渡河
奥莫河
内格罗河
雅碧江
杭埠河
台伯河
巴河
雅鲁河
同耐河
黄水河
郭勒河
加尔河
旬河
邕江
曲河
集达河
饮马河
瓦姆河
汗河
尼河
柳河
女儿河
甘加河
柴达木河
贡格尔河
墨累河
大盈江
杰赫勒姆河
色楞格河
李仙江
托什干河
纳河
加河
霍姆河
达河
大沙河
拉克河
帕德玛河
沙颍河
挠力河
纳斯河
壶流河
罗纳河
小黑河
惠济河
贾鲁河
可布河
克孜河
洛泽河
有卫河
德涅斯特河
柴河
伊通河
以礼河
卢瓦尔河
白水河
巴尔河
该河
塞内加尔河
穆西河
善河
桑加河
特克斯河
黑惠江
黑水河
黄泥河
萨瓦河
汉水
帕拉河
哈河
公别拉河
上塘河
潍河
多河
灞河
聂伯河
洪汝河
乔贝河
曲什安河
奥蒂河
托木河
尔河
和沁河
汉北河
齐斯河
喷赤河
阿墨江
尼洋河
橘河
西辽河
帕隆藏布江
杰纳布河
武里河
捷詹河
六冲河
补远江
斯甲河
怀特河
淝河
史河
比占河
塔纳河
伊河
闪电河
南腊河
富尔河
礼社江
新开河
汝河
皖河
兰河
香磨河
伊洛河
汶河
盈江
托博尔河
沙里河
洛贡河
盖孜河
青尼罗河
开都河
奥莫隆河
绿汁江
卡河
彭亨河
哈拉哈河
阿肯色河
老哈河
根河
迪河
南碧河
堵河
纳伦河
亚拉河
洪渡河
乌达河
绕阳河
大洋河
沙颖河
褒河
沮河
乌尤河
土拉河
硕多岗河
梅开江
白水江
北汝河
库班河
特河
埃布罗河
阿西河
渭干河
迪汉河
及元江
那甫河
朱木拿河
南宛河
奥卡河
淠河
鄂嫩河
岚河
克音河
南俄河
龙溪河
东义河
梅津河
打邦河
普鲁特河
沣河
东辽河
丹河
河诺敏河
杜罗河
胶莱河
打帮河
图河
克孜勒河
马泉河
穆棱河
韦莱河
希雷河
西瓦河
广萨河
泸江
哈巴河
格河
二河
伊巴河
隆务河
于元江
窟野河
潴龙河
漳河
白马河
教来河
利河
石头河
浊漳河
塔兹河
卡罗尼河
易北河
卡劳河
皮涅加河
巴生河
布哈河
谷河
老莱河
沱河
亲敦江
白绍拉河
渔泡江
大鱼河
麻尔柯河
圣胡安河
林波波河
窝瓦河
穆尔河
马边河
木河
安邦河
格里河
木伦河
马斯河
阿特拉克河
洛河
猫跳河
密苏里河
牡丹江
南渡江
南盘江
南运河
年楚河
钱塘江
沁河
清水河
塞纳河
疏勒河
泰晤士河
太子河
图们江
渭河
卫河
涡河
乌江
乌苏里江
无定河
吴淞江
象泉河
小清河
鸭绿江
盐河
叶尔羌河
伊犁河
沂河
永定河
幼发拉底河
郁江
育空河
元江
子牙河
祖厉河
岷江
沭河
泗河
沱江
泾河
滹沱河
颍河
阿克苏河
安宁河
奥里诺科河
巴拉圭河
巴拉那河
白龙江
北洛河
北盘江
波河
察隅河
赤水河
串场河
绰尔河
茨淮新河
大渡河
大黑河
大凌河
大清河
大通河
大夏河
大汶河
丹江
底格里斯河
第聂伯河
东荆河
顿河
多瑙河
额尔古纳河
汾河
抚河
赣江
哥伦比亚河
格兰德河
海拉尔河
和田河
黑河
洪河
红水河
浑河
嘉陵江
江南运河
金沙江
荆江
科罗拉多河
拉普拉塔河
拉萨河
滦河
绥芬河
